certificateOfSale,parcel,saleDate
,,
2022-C-000001,REDEEMED,
2022-C-000002,REDEEMED,
2022-C-000003,REDEEMED,
2022-C-000004,CERTIFIED,05/10/2023
2022-C-000005,CERTIFIED,05/10/2023
2022-C-000006,CERTIFIED,05/10/2023
2022-C-000007,CERTIFIED,05/10/2023
2022-C-000008,CERTIFIED,05/10/2023
2022-C-000009,REDEEMED,
2022-C-000010,REDEEMED,
2022-C-000011,REDEEMED,
2022-C-000012,CERTIFIED,05/10/2023
2022-C-000013,REDEEMED,
2022-C-000014,REDEEMED,
2022-C-000015,REDEEMED,
2022-C-000016,REDEEMED,
2022-C-000017,CERTIFIED,05/10/2023
2022-C-000018,REDEEMED,
2022-C-000019,REDEEMED,
2022-C-000020,CERTIFIED,05/10/2023
2022-C-000021,CERTIFIED,05/10/2023
2022-C-000022,CERTIFIED,05/10/2023
2022-C-000023,CERTIFIED,05/10/2023
2022-C-000024,CERTIFIED,05/10/2023
2022-C-000025,REDEEMED,
2022-C-000026,REDEEMED,
2022-C-000027,CERTIFIED,05/10/2023
2022-C-000028,REDEEMED,
2022-C-000029,REDEEMED,
2022-C-000030,CERTIFIED,05/10/2023
2022-C-000031,CERTIFIED,05/10/2023
2022-C-000032,CERTIFIED,05/10/2023
2022-C-000033,REDEEMED,
2022-C-000034,REDEEMED,
2022-C-000035,CERTIFIED,05/10/2023
2022-C-000036,CERTIFIED,05/10/2023
2022-C-000037,CERTIFIED,05/10/2023
2022-C-000038,REDEEMED,
2022-C-000039,CERTIFIED,05/10/2023
2022-C-000040,CERTIFIED,05/10/2023
2022-C-000041,CERTIFIED,05/10/2023
2022-C-000042,CERTIFIED,05/10/2023
2022-C-000043,REDEEMED,
2022-C-000044,REDEEMED,
2022-C-000045,REDEEMED,
2022-C-000046,REDEEMED,
2022-C-000047,REDEEMED,
2022-C-000048,REDEEMED,
2022-C-000049,CERTIFIED,05/10/2023
2022-C-000050,REDEEMED,
2022-C-000051,REDEEMED,
2022-C-000052,CERTIFIED,05/10/2023
2022-C-000053,CERTIFIED,05/10/2023
2022-C-000054,CERTIFIED,05/10/2023
2022-C-000055,REDEEMED,
2022-C-000056,CERTIFIED,05/10/2023
2022-C-000057,CERTIFIED,05/10/2023
2022-C-000058,CERTIFIED,05/10/2023
2022-C-000059,REDEEMED,
2022-C-000060,CERTIFIED,05/10/2023
2022-C-000061,REDEEMED,
2022-C-000062,REDEEMED,
2022-C-000063,CERTIFIED,05/10/2023
2022-C-000064,CERTIFIED,05/10/2023
2022-C-000065,CERTIFIED,05/10/2023
2022-C-000066,REDEEMED,
2022-C-000067,CERTIFIED,05/10/2023
2022-C-000068,CERTIFIED,05/10/2023
2022-C-000069,CERTIFIED,05/10/2023
2022-C-000070,CERTIFIED,05/10/2023
2022-C-000071,CERTIFIED,05/10/2023
2022-C-000072,REDEEMED,
2022-C-000073,REDEEMED,
2022-C-000074,REDEEMED,
2022-C-000075,REDEEMED,
2022-C-000076,CERTIFIED,05/10/2023
2022-C-000077,CERTIFIED,05/10/2023
2022-C-000078,CERTIFIED,05/10/2023
2022-C-000079,CERTIFIED,05/10/2023
2022-C-000080,REDEEMED,
2022-C-000081,CERTIFIED,05/10/2023
2022-C-000082,CERTIFIED,05/10/2023
2022-C-000083,CERTIFIED,05/10/2023
2022-C-000084,CERTIFIED,05/10/2023
2022-C-000085,REDEEMED,
2022-C-000086,CERTIFIED,05/10/2023
2022-C-000087,CERTIFIED,05/10/2023
2022-C-000088,CERTIFIED,05/10/2023
2022-C-000089,CERTIFIED,05/10/2023
2022-C-000090,REDEEMED,
2022-C-000091,CERTIFIED,05/10/2023
2022-C-000092,CERTIFIED,05/10/2023
2022-C-000093,CERTIFIED,05/10/2023
2022-C-000094,CERTIFIED,05/10/2023
2022-C-000095,REDEEMED,
