certificateOfSale,parcel,saleDate
,,
2022-C-000001,CERTIFIED,05/18/2023
2022-C-000002,CERTIFIED,05/18/2023
2022-C-000003,CERTIFIED,05/18/2023
2022-C-000004,CERTIFIED,05/18/2023
2022-C-000005,CERTIFIED,05/18/2023
2022-C-000006,CERTIFIED,05/18/2023
2022-C-000007,REDEEMED,
2022-C-000008,CERTIFIED,05/18/2023
2022-C-000009,REDEEMED,
2022-C-000010,CERTIFIED,05/18/2023
2022-C-000011,CERTIFIED,05/18/2023
2022-C-000012,CERTIFIED,05/18/2023
2022-C-000013,CERTIFIED,05/18/2023
2022-C-000014,CERTIFIED,05/18/2023
2022-C-000015,CERTIFIED,05/18/2023
2022-C-000016,CERTIFIED,05/18/2023
2022-C-000017,REDEEMED,
2022-C-000018,REDEEMED,
2022-C-000019,CERTIFIED,05/18/2023
2022-C-000020,CERTIFIED,05/18/2023
2022-C-000021,REDEEMED,
2022-C-000022,CERTIFIED,05/18/2023
2022-C-000023,REDEEMED,
2022-C-000024,REDEEMED,
2022-C-000025,REDEEMED,
2022-C-000026,CERTIFIED,05/18/2023
2022-C-000027,REDEEMED,
2022-C-000028,REDEEMED,
2022-C-000029,CERTIFIED,05/18/2023
2022-C-000030,CERTIFIED,05/18/2023
2022-C-000031,REDEEMED,
2022-C-000032,CERTIFIED,05/18/2023
2022-C-000033,REDEEMED,
2022-C-000034,REDEEMED,
2022-C-000035,CERTIFIED,05/18/2023
2022-C-000036,CERTIFIED,05/18/2023
2022-C-000037,CERTIFIED,05/18/2023
2022-C-000038,CERTIFIED,05/18/2023
2022-C-000039,REDEEMED,
2022-C-000040,REDEEMED,
2022-C-000041,REDEEMED,
2022-C-000042,REDEEMED,
2022-C-000043,CERTIFIED,05/18/2023
2022-C-000044,CERTIFIED,05/18/2023
2022-C-000045,CERTIFIED,05/18/2023
2022-C-000046,REDEEMED,
2022-C-000047,CERTIFIED,05/18/2023
2022-C-000048,CERTIFIED,05/18/2023
2022-C-000049,CERTIFIED,05/18/2023
2022-C-000050,REDEEMED,
2022-C-000051,REDEEMED,
2022-C-000052,CERTIFIED,05/18/2023
2022-C-000053,CERTIFIED,05/18/2023
2022-C-000054,CERTIFIED,05/18/2023
2022-C-000055,REDEEMED,
2022-C-000056,REDEEMED,
2022-C-000057,REDEEMED,
2022-C-000058,CERTIFIED,05/18/2023
2022-C-000059,CERTIFIED,05/18/2023
2022-C-000060,REDEEMED,
2022-C-000061,CERTIFIED,05/18/2023
2022-C-000062,CERTIFIED,05/18/2023
2022-C-000063,REDEEMED,
2022-C-000064,REDEEMED,
2022-C-000065,CERTIFIED,05/18/2023
2022-C-000066,CERTIFIED,05/18/2023
2022-C-000067,CERTIFIED,05/18/2023
2022-C-000068,REDEEMED,
2022-C-000069,CERTIFIED,05/18/2023
2022-C-000070,REDEEMED,
2022-C-000071,CERTIFIED,05/18/2023
2022-C-000072,CERTIFIED,05/18/2023
2022-C-000073,CERTIFIED,05/18/2023
2022-C-000074,CERTIFIED,05/18/2023
2022-C-000075,REDEEMED,
2022-C-000076,CERTIFIED,05/18/2023
2022-C-000077,CERTIFIED,05/18/2023
2022-C-000078,CERTIFIED,05/18/2023
2022-C-000079,CERTIFIED,05/18/2023
2022-C-000080,CERTIFIED,05/18/2023
2022-C-000081,CERTIFIED,05/18/2023
2022-C-000082,CERTIFIED,05/18/2023
2022-C-000083,CERTIFIED,05/18/2023
2022-C-000084,REDEEMED,
2022-C-000085,REDEEMED,
2022-C-000086,REDEEMED,
2022-C-000087,REDEEMED,
2022-C-000088,REDEEMED,
2022-C-000089,REDEEMED,
2022-C-000090,REDEEMED,
2022-C-000091,CERTIFIED,05/18/2023
2022-C-000092,CERTIFIED,05/18/2023
2022-C-000093,REDEEMED,
2022-C-000094,REDEEMED,
2022-C-000095,CERTIFIED,05/18/2023
2022-C-000096,CERTIFIED,05/18/2023
2022-C-000097,CERTIFIED,05/18/2023
2022-C-000098,CERTIFIED,05/18/2023
2022-C-000099,REDEEMED,
2022-C-000100,CERTIFIED,05/18/2023
2022-C-000101,CERTIFIED,05/18/2023
2022-C-000102,REDEEMED,
2022-C-000103,REDEEMED,
2022-C-000104,REDEEMED,
2022-C-000105,CERTIFIED,05/18/2023
2022-C-000106,CERTIFIED,05/18/2023
2022-C-000107,REDEEMED,
2022-C-000108,REDEEMED,
2022-C-000109,CERTIFIED,05/18/2023
2022-C-000110,CERTIFIED,05/18/2023
2022-C-000111,CERTIFIED,05/18/2023
2022-C-000112,CERTIFIED,05/18/2023
2022-C-000113,REDEEMED,
2022-C-000114,CERTIFIED,05/18/2023
2022-C-000115,REDEEMED,
2022-C-000116,CERTIFIED,05/18/2023
2022-C-000117,REDEEMED,
2022-C-000118,REDEEMED,
2022-C-000119,CERTIFIED,05/18/2023
2022-C-000120,CERTIFIED,05/18/2023
2022-C-000121,CERTIFIED,05/18/2023
2022-C-000122,CERTIFIED,05/18/2023
2022-C-000123,CERTIFIED,05/18/2023
2022-C-000124,REDEEMED,
2022-C-000125,CERTIFIED,05/18/2023
2022-C-000126,REDEEMED,
2022-C-000127,REDEEMED,
2022-C-000128,CERTIFIED,05/18/2023
2022-C-000129,CERTIFIED,05/18/2023
2022-C-000130,CERTIFIED,05/18/2023
2022-C-000131,REDEEMED,
2022-C-000132,CERTIFIED,05/18/2023
2022-C-000133,CERTIFIED,05/18/2023
2022-C-000134,CERTIFIED,05/18/2023
2022-C-000135,CERTIFIED,05/18/2023
2022-C-000136,REDEEMED,
2022-C-000137,REDEEMED,
2022-C-000138,CERTIFIED,05/18/2023
2022-C-000139,REDEEMED,
2022-C-000140,REDEEMED,
2022-C-000141,CERTIFIED,05/18/2023
2022-C-000142,REDEEMED,
2022-C-000143,REDEEMED,
2022-C-000144,CERTIFIED,05/18/2023
2022-C-000145,CERTIFIED,05/18/2023
2022-C-000146,REDEEMED,
2022-C-000147,CERTIFIED,05/18/2023
2022-C-000148,REDEEMED,
2022-C-000149,REDEEMED,
2022-C-000150,REDEEMED,
2022-C-000152,REDEEMED,
2022-C-000153,CERTIFIED,05/18/2023
2022-C-000154,REDEEMED,
2022-C-000155,REDEEMED,
2022-C-000156,REDEEMED,
2022-C-000157,REDEEMED,
2022-C-000158,CERTIFIED,05/18/2023
2022-C-000159,REDEEMED,
2022-C-000160,CERTIFIED,05/18/2023
2022-C-000161,REDEEMED,
2022-C-000162,CERTIFIED,05/18/2023
2022-C-000163,CERTIFIED,05/18/2023
2022-C-000164,CERTIFIED,05/18/2023
2022-C-000165,REDEEMED,
2022-C-000166,CERTIFIED,05/18/2023
2022-C-000167,CERTIFIED,05/18/2023
2022-C-000168,CERTIFIED,05/18/2023
2022-C-000169,CERTIFIED,05/18/2023
2022-C-000170,CERTIFIED,05/18/2023
2022-C-000171,CERTIFIED,05/18/2023
2022-C-000172,REDEEMED,
2022-C-000173,CERTIFIED,05/18/2023
2022-C-000174,REDEEMED,
2022-C-000175,REDEEMED,
2022-C-000176,CERTIFIED,05/18/2023
2022-C-000177,REDEEMED,
2022-C-000178,REDEEMED,
2022-C-000179,CERTIFIED,05/18/2023
2022-C-000180,REDEEMED,
2022-C-000181,REDEEMED,
2022-C-000182,CERTIFIED,05/18/2023
2022-C-000183,CERTIFIED,05/18/2023
2022-C-000184,CERTIFIED,05/18/2023
2022-C-000185,CERTIFIED,05/18/2023
2022-C-000186,CERTIFIED,05/18/2023
2022-C-000187,CERTIFIED,05/18/2023
2022-C-000188,CERTIFIED,05/18/2023
2022-C-000189,CERTIFIED,05/18/2023
2022-C-000190,CERTIFIED,05/18/2023
2022-C-000191,CERTIFIED,05/18/2023
2022-C-000192,REDEEMED,
2022-C-000193,REDEEMED,
2022-C-000194,REDEEMED,
2022-C-000195,CERTIFIED,05/18/2023
2022-C-000196,CERTIFIED,05/18/2023
2022-C-000197,CERTIFIED,05/18/2023
2022-C-000198,CERTIFIED,05/18/2023
2022-C-000199,CERTIFIED,05/18/2023
2022-C-000200,CERTIFIED,05/18/2023
2022-C-000201,CERTIFIED,05/18/2023
2022-C-000202,CERTIFIED,05/18/2023
2022-C-000203,CERTIFIED,05/18/2023
2022-C-000204,CERTIFIED,05/18/2023
2022-C-000205,REDEEMED,
2022-C-000206,REDEEMED,
2022-C-000207,CERTIFIED,05/18/2023
2022-C-000208,CERTIFIED,05/18/2023
2022-C-000209,CERTIFIED,05/18/2023
2022-C-000210,CERTIFIED,05/18/2023
2022-C-000211,CERTIFIED,05/18/2023
2022-C-000212,CERTIFIED,05/18/2023
2022-C-000213,CERTIFIED,05/18/2023
2022-C-000214,CERTIFIED,05/18/2023
2022-C-000215,CERTIFIED,05/18/2023
2022-C-000216,CERTIFIED,05/18/2023
2022-C-000217,CERTIFIED,05/18/2023
2022-C-000218,CERTIFIED,05/18/2023
2022-C-000219,CERTIFIED,05/18/2023
2022-C-000221,CERTIFIED,05/18/2023
2022-C-000222,CERTIFIED,05/18/2023
2022-C-000223,CERTIFIED,05/18/2023
2022-C-000224,CERTIFIED,05/18/2023
2022-C-000225,CERTIFIED,05/18/2023
2022-C-000226,REDEEMED,
2022-C-000227,CERTIFIED,05/18/2023
2022-C-000228,CERTIFIED,05/18/2023
