certificateOfSale,parcel,saleDate
,,
2022-C-000001,CERTIFIED,05/25/2023
2022-C-000002,CERTIFIED,05/25/2023
2022-C-000003,CERTIFIED,05/25/2023
2022-C-000004,REDEEMED,
2022-C-000005,CERTIFIED,05/25/2023
2022-C-000006,REDEEMED,
2022-C-000007,CERTIFIED,05/25/2023
2022-C-000008,CERTIFIED,05/25/2023
2022-C-000009,CERTIFIED,05/25/2023
2022-C-000010,CERTIFIED,05/25/2023
2022-C-000011,CERTIFIED,05/25/2023
2022-C-000012,CERTIFIED,05/25/2023
2022-C-000013,REDEEMED,
2022-C-000014,CERTIFIED,05/25/2023
2022-C-000015,CERTIFIED,05/25/2023
2022-C-000016,CERTIFIED,05/25/2023
2022-C-000017,REDEEMED,
2022-C-000018,CERTIFIED,05/25/2023
2022-C-000019,CERTIFIED,05/25/2023
2022-C-000020,REDEEMED,
2022-C-000021,CERTIFIED,05/25/2023
2022-C-000022,CERTIFIED,05/25/2023
2022-C-000023,CERTIFIED,05/25/2023
2022-C-000024,CERTIFIED,05/25/2023
2022-C-000025,CERTIFIED,05/25/2023
2022-C-000026,CERTIFIED,05/25/2023
2022-C-000027,REDEEMED,
2022-C-000028,REDEEMED,
2022-C-000029,CERTIFIED,05/25/2023
2022-C-000030,CERTIFIED,05/25/2023
2022-C-000031,CERTIFIED,05/25/2023
2022-C-000032,CERTIFIED,05/25/2023
2022-C-000033,CERTIFIED,05/25/2023
2022-C-000034,REDEEMED,
2022-C-000035,REDEEMED,
2022-C-000036,REDEEMED,
2022-C-000037,REDEEMED,
2022-C-000038,CERTIFIED,05/25/2023
2022-C-000039,CERTIFIED,05/25/2023
2022-C-000040,CERTIFIED,05/25/2023
2022-C-000041,CERTIFIED,05/25/2023
2022-C-000042,CERTIFIED,05/25/2023
2022-C-000043,CERTIFIED,05/25/2023
2022-C-000044,CERTIFIED,05/25/2023
2022-C-000045,CERTIFIED,05/25/2023
2022-C-000046,CERTIFIED,05/25/2023
2022-C-000047,CERTIFIED,05/25/2023
2022-C-000048,CERTIFIED,05/25/2023
2022-C-000049,CERTIFIED,05/25/2023
2022-C-000050,CERTIFIED,05/25/2023
2022-C-000051,CERTIFIED,05/25/2023
2022-C-000052,REDEEMED,
2022-C-000053,CERTIFIED,05/25/2023
2022-C-000054,CERTIFIED,05/25/2023
2022-C-000055,CERTIFIED,05/25/2023
2022-C-000056,CERTIFIED,05/25/2023
2022-C-000057,CERTIFIED,05/25/2023
2022-C-000058,CERTIFIED,05/25/2023
2022-C-000059,CERTIFIED,05/25/2023
2022-C-000060,CERTIFIED,05/25/2023
2022-C-000061,CERTIFIED,05/25/2023
2022-C-000062,CERTIFIED,05/25/2023
2022-C-000063,CERTIFIED,05/25/2023
2022-C-000064,CERTIFIED,05/25/2023
2022-C-000065,CERTIFIED,05/25/2023
2022-C-000066,CERTIFIED,05/25/2023
2022-C-000067,CERTIFIED,05/25/2023
2022-C-000068,CERTIFIED,05/25/2023
2022-C-000069,CERTIFIED,05/25/2023
2022-C-000070,CERTIFIED,05/25/2023
2022-C-000071,CERTIFIED,05/25/2023
2022-C-000072,CERTIFIED,05/25/2023
2022-C-000073,REDEEMED,
2022-C-000074,CERTIFIED,05/25/2023
2022-C-000075,CERTIFIED,05/25/2023
2022-C-000076,REDEEMED,
2022-C-000077,REDEEMED,
2022-C-000078,REDEEMED,
2022-C-000079,CERTIFIED,05/25/2023
2022-C-000080,REDEEMED,
2022-C-000081,REDEEMED,
2022-C-000082,REDEEMED,
2022-C-000083,CERTIFIED,05/25/2023
2022-C-000084,REDEEMED,
2022-C-000085,CERTIFIED,05/25/2023
2022-C-000086,CERTIFIED,05/25/2023
2022-C-000087,CERTIFIED,05/25/2023
2022-C-000088,REDEEMED,
2022-C-000089,CERTIFIED,05/25/2023
2022-C-000090,REDEEMED,
2022-C-000091,REDEEMED,
2022-C-000092,CERTIFIED,05/25/2023
2022-C-000093,CERTIFIED,05/25/2023
2022-C-000094,CERTIFIED,05/25/2023
2022-C-000095,CERTIFIED,05/25/2023
2022-C-000096,REDEEMED,
2022-C-000097,CERTIFIED,05/25/2023
2022-C-000098,CERTIFIED,05/25/2023
2022-C-000099,REDEEMED,
2022-C-000100,REDEEMED,
2022-C-000101,CERTIFIED,05/25/2023
2022-C-000102,CERTIFIED,05/25/2023
2022-C-000103,CERTIFIED,05/25/2023
2022-C-000104,CERTIFIED,05/25/2023
2022-C-000105,REDEEMED,
2022-C-000106,REDEEMED,
2022-C-000107,CERTIFIED,05/25/2023
2022-C-000108,CERTIFIED,05/25/2023
2022-C-000109,CERTIFIED,05/25/2023
2022-C-000110,CERTIFIED,05/25/2023
2022-C-000111,CERTIFIED,05/25/2023
2022-C-000112,REDEEMED,
2022-C-000113,REDEEMED,
2022-C-000114,REDEEMED,
2022-C-000115,CERTIFIED,05/25/2023
2022-C-000116,CERTIFIED,05/25/2023
2022-C-000117,CERTIFIED,05/25/2023
2022-C-000118,CERTIFIED,05/25/2023
2022-C-000119,REDEEMED,
2022-C-000120,CERTIFIED,05/25/2023
2022-C-000121,REDEEMED,
2022-C-000122,CERTIFIED,05/25/2023
2022-C-000123,CERTIFIED,05/25/2023
2022-C-000124,CERTIFIED,05/25/2023
2022-C-000125,CERTIFIED,05/25/2023
2022-C-000126,CERTIFIED,05/25/2023
2022-C-000127,CERTIFIED,05/25/2023
2022-C-000128,CERTIFIED,05/25/2023
2022-C-000129,REDEEMED,
2022-C-000130,REDEEMED,
2022-C-000131,CERTIFIED,05/25/2023
2022-C-000132,CERTIFIED,05/25/2023
2022-C-000133,CERTIFIED,05/25/2023
2022-C-000134,CERTIFIED,05/25/2023
2022-C-000135,CERTIFIED,05/25/2023
2022-C-000136,CERTIFIED,05/25/2023
2022-C-000137,CERTIFIED,05/25/2023
2022-C-000138,CERTIFIED,05/25/2023
2022-C-000139,CERTIFIED,05/25/2023
2022-C-000140,CERTIFIED,05/25/2023
2022-C-000141,CERTIFIED,05/25/2023
2022-C-000142,CERTIFIED,05/25/2023
2022-C-000143,CERTIFIED,05/25/2023
2022-C-000144,CERTIFIED,05/25/2023
2022-C-000145,CERTIFIED,05/25/2023
2022-C-000146,CERTIFIED,05/25/2023
2022-C-000147,REDEEMED,
2022-C-000148,CERTIFIED,05/25/2023
2022-C-000149,CERTIFIED,05/25/2023
2022-C-000150,CERTIFIED,05/25/2023
2022-C-000151,CERTIFIED,05/25/2023
2022-C-000152,CERTIFIED,05/25/2023
2022-C-000153,REDEEMED,
2022-C-000154,REDEEMED,
2022-C-000155,REDEEMED,
2022-C-000156,REDEEMED,
2022-C-000157,CERTIFIED,05/25/2023
2022-C-000158,REDEEMED,
2022-C-000159,CERTIFIED,05/25/2023
2022-C-000160,REDEEMED,
2022-C-000161,CERTIFIED,05/25/2023
2022-C-000162,REDEEMED,
2022-C-000163,CERTIFIED,05/25/2023
2022-C-000164,REDEEMED,
2022-C-000165,CERTIFIED,05/25/2023
2022-C-000166,CERTIFIED,05/25/2023
2022-C-000167,CERTIFIED,05/25/2023
2022-C-000168,CERTIFIED,05/25/2023
2022-C-000169,CERTIFIED,05/25/2023
2022-C-000170,CERTIFIED,05/25/2023
2022-C-000171,CERTIFIED,05/25/2023
2022-C-000172,REDEEMED,
2022-C-000173,REDEEMED,
2022-C-000174,REDEEMED,
2022-C-000175,REDEEMED,
2022-C-000176,CERTIFIED,05/25/2023
2022-C-000177,CERTIFIED,05/25/2023
2022-C-000178,CERTIFIED,05/25/2023
2022-C-000179,CERTIFIED,05/25/2023
2022-C-000180,CERTIFIED,05/25/2023
2022-C-000181,CERTIFIED,05/25/2023
2022-C-000182,CERTIFIED,05/25/2023
2022-C-000183,CERTIFIED,05/25/2023
2022-C-000184,REDEEMED,
2022-C-000185,CERTIFIED,05/25/2023
2022-C-000186,REDEEMED,
2022-C-000187,CERTIFIED,05/25/2023
2022-C-000188,CERTIFIED,05/25/2023
2022-C-000189,CERTIFIED,05/25/2023
2022-C-000190,CERTIFIED,05/25/2023
2022-C-000191,CERTIFIED,05/25/2023
2022-C-000192,CERTIFIED,05/25/2023
2022-C-000193,CERTIFIED,05/25/2023
2022-C-000194,REDEEMED,
2022-C-000195,CERTIFIED,05/25/2023
2022-C-000196,REDEEMED,
2022-C-000197,CERTIFIED,05/25/2023
2022-C-000198,CERTIFIED,05/25/2023
2022-C-000199,CERTIFIED,05/25/2023
2022-C-000200,REDEEMED,
2022-C-000201,CERTIFIED,05/25/2023
2022-C-000202,REDEEMED,
2022-C-000203,REDEEMED,
2022-C-000204,REDEEMED,
2022-C-000205,REDEEMED,
2022-C-000206,REDEEMED,
2022-C-000207,REDEEMED,
2022-C-000208,REDEEMED,
2022-C-000209,CERTIFIED,05/25/2023
2022-C-000210,CERTIFIED,05/25/2023
2022-C-000211,CERTIFIED,05/25/2023
2022-C-000212,CERTIFIED,05/25/2023
2022-C-000213,CERTIFIED,05/25/2023
2022-C-000214,REDEEMED,
2022-C-000215,CERTIFIED,05/25/2023
2022-C-000216,CERTIFIED,05/25/2023
2022-C-000217,REDEEMED,
2022-C-000218,CERTIFIED,05/25/2023
2022-C-000219,CERTIFIED,05/25/2023
2022-C-000220,CERTIFIED,05/25/2023
2022-C-000221,CERTIFIED,05/25/2023
2022-C-000222,CERTIFIED,05/25/2023
2022-C-000223,CERTIFIED,05/25/2023
2022-C-000224,REDEEMED,
2022-C-000225,CERTIFIED,05/25/2023
2022-C-000226,CERTIFIED,05/25/2023
2022-C-000227,REDEEMED,
2022-C-000228,REDEEMED,
2022-C-000229,CERTIFIED,05/25/2023
2022-C-000230,CERTIFIED,05/25/2023
2022-C-000231,CERTIFIED,05/25/2023
2022-C-000232,CERTIFIED,05/25/2023
2022-C-000233,CERTIFIED,05/25/2023
2022-C-000234,REDEEMED,
2022-C-000235,REDEEMED,
2022-C-000236,CERTIFIED,05/25/2023
2022-C-000237,CERTIFIED,05/25/2023
2022-C-000238,CERTIFIED,05/25/2023
2022-C-000239,CERTIFIED,05/25/2023
2022-C-000240,REDEEMED,
2022-C-000241,CERTIFIED,05/25/2023
2022-C-000242,CERTIFIED,05/25/2023
2022-C-000243,CERTIFIED,05/25/2023
2022-C-000244,REDEEMED,
2022-C-000245,CERTIFIED,05/25/2023
2022-C-000246,CERTIFIED,05/25/2023
2022-C-000247,CERTIFIED,05/25/2023
2022-C-000248,CERTIFIED,05/25/2023
2022-C-000249,CERTIFIED,05/25/2023
2022-C-000250,CERTIFIED,05/25/2023
2022-C-000251,CERTIFIED,05/25/2023
2022-C-000252,CERTIFIED,05/25/2023
2022-C-000253,CERTIFIED,05/25/2023
2022-C-000254,REDEEMED,
2022-C-000255,REDEEMED,
2022-C-000256,CERTIFIED,05/25/2023
2022-C-000257,CERTIFIED,05/25/2023
2022-C-000258,CERTIFIED,05/25/2023
2022-C-000259,CERTIFIED,05/25/2023
2022-C-000260,CERTIFIED,05/25/2023
2022-C-000261,REDEEMED,
2022-C-000262,CERTIFIED,05/25/2023
2022-C-000263,CERTIFIED,05/25/2023
2022-C-000264,REDEEMED,
2022-C-000265,CERTIFIED,05/25/2023
2022-C-000266,CERTIFIED,05/25/2023
2022-C-000267,CERTIFIED,05/25/2023
2022-C-000268,CERTIFIED,05/25/2023
2022-C-000269,REDEEMED,
2022-C-000270,CERTIFIED,05/25/2023
2022-C-000271,CERTIFIED,05/25/2023
2022-C-000272,CERTIFIED,05/25/2023
2022-C-000273,CERTIFIED,05/25/2023
2022-C-000274,CERTIFIED,05/25/2023
2022-C-000275,CERTIFIED,05/25/2023
2022-C-000276,CERTIFIED,05/25/2023
2022-C-000277,CERTIFIED,05/25/2023
2022-C-000278,REDEEMED,
2022-C-000279,REDEEMED,
2022-C-000280,REDEEMED,
