certificateOfSale,parcel,saleDate
,,
2022-C-000001,REDEEMED,
2022-C-000002,REDEEMED,
2022-C-000003,CERTIFIED,06/06/2023
2022-C-000004,CERTIFIED,06/06/2023
2022-C-000005,CERTIFIED,06/06/2023
2022-C-000006,CERTIFIED,06/06/2023
2022-C-000007,CERTIFIED,06/06/2023
2022-C-000008,CERTIFIED,06/06/2023
2022-C-000009,CERTIFIED,06/06/2023
2022-C-000010,CERTIFIED,06/06/2023
2022-C-000011,CERTIFIED,06/06/2023
2022-C-000012,CERTIFIED,06/06/2023
2022-C-000013,CERTIFIED,06/06/2023
2022-C-000014,REDEEMED,
2022-C-000015,CERTIFIED,06/06/2023
2022-C-000016,CERTIFIED,06/06/2023
2022-C-000017,REDEEMED,
2022-C-000018,REDEEMED,
2022-C-000019,CERTIFIED,06/06/2023
2022-C-000020,CERTIFIED,06/06/2023
2022-C-000021,REDEEMED,
2022-C-000022,CERTIFIED,06/06/2023
2022-C-000023,CERTIFIED,06/06/2023
2022-C-000024,CERTIFIED,06/06/2023
2022-C-000025,CERTIFIED,06/06/2023
2022-C-000026,CERTIFIED,06/06/2023
2022-C-000027,CERTIFIED,06/06/2023
2022-C-000028,CERTIFIED,06/06/2023
2022-C-000029,REDEEMED,
2022-C-000030,REDEEMED,
2022-C-000031,CERTIFIED,06/06/2023
2022-C-000032,REDEEMED,
2022-C-000033,REDEEMED,
2022-C-000034,REDEEMED,
2022-C-000035,CERTIFIED,06/06/2023
2022-C-000036,REDEEMED,
2022-C-000037,REDEEMED,
2022-C-000038,REDEEMED,
2022-C-000039,CERTIFIED,06/06/2023
2022-C-000040,CERTIFIED,06/06/2023
2022-C-000041,CERTIFIED,06/06/2023
2022-C-000042,CERTIFIED,06/06/2023
2022-C-000043,CERTIFIED,06/06/2023
2022-C-000044,CERTIFIED,06/06/2023
2022-C-000045,CERTIFIED,06/06/2023
2022-C-000046,CERTIFIED,06/06/2023
2022-C-000047,CERTIFIED,06/06/2023
2022-C-000048,CERTIFIED,06/06/2023
2022-C-000049,CERTIFIED,06/06/2023
2022-C-000050,CERTIFIED,06/06/2023
2022-C-000051,CERTIFIED,06/06/2023
2022-C-000052,CERTIFIED,06/06/2023
2022-C-000053,CERTIFIED,06/06/2023
2022-C-000054,CERTIFIED,06/06/2023
2022-C-000055,CERTIFIED,06/06/2023
2022-C-000056,CERTIFIED,06/06/2023
2022-C-000057,CERTIFIED,06/06/2023
2022-C-000058,CERTIFIED,06/06/2023
2022-C-000059,CERTIFIED,06/06/2023
2022-C-000060,CERTIFIED,06/06/2023
2022-C-000061,CERTIFIED,06/06/2023
2022-C-000062,REDEEMED,
2022-C-000063,REDEEMED,
2022-C-000064,REDEEMED,
2022-C-000065,REDEEMED,
2022-C-000066,CERTIFIED,06/06/2023
2022-C-000067,CERTIFIED,06/06/2023
2022-C-000068,REDEEMED,
2022-C-000069,REDEEMED,
2022-C-000070,CERTIFIED,06/06/2023
2022-C-000071,CERTIFIED,06/06/2023
2022-C-000072,CERTIFIED,06/06/2023
2022-C-000073,CERTIFIED,06/06/2023
2022-C-000074,CERTIFIED,06/06/2023
2022-C-000075,CERTIFIED,06/06/2023
2022-C-000076,CERTIFIED,06/06/2023
2022-C-000077,CERTIFIED,06/06/2023
2022-C-000078,CERTIFIED,06/06/2023
2022-C-000079,CERTIFIED,06/06/2023
2022-C-000080,CERTIFIED,06/06/2023
2022-C-000081,CERTIFIED,06/06/2023
2022-C-000082,REDEEMED,
2022-C-000083,CERTIFIED,06/06/2023
2022-C-000084,REDEEMED,
2022-C-000085,REDEEMED,
2022-C-000086,CERTIFIED,06/06/2023
2022-C-000087,REDEEMED,
2022-C-000088,CERTIFIED,06/06/2023
2022-C-000089,CERTIFIED,06/06/2023
2022-C-000090,REDEEMED,
2022-C-000091,REDEEMED,
