certificateOfSale,parcel,saleDate
,,
2022-C-000001,REDEEMED,
2022-C-000002,CERTIFIED,05/09/2023
2022-C-000003,REDEEMED,
2022-C-000004,CERTIFIED,05/09/2023
2022-C-000005,CERTIFIED,05/09/2023
2022-C-000006,REDEEMED,
2022-C-000007,REDEEMED,
2022-C-000008,REDEEMED,
2022-C-000009,CERTIFIED,05/09/2023
2022-C-000010,CERTIFIED,05/09/2023
2022-C-000011,CERTIFIED,05/09/2023
2022-C-000012,REDEEMED,
2022-C-000013,CERTIFIED,05/09/2023
2022-C-000014,CERTIFIED,05/09/2023
2022-C-000015,CERTIFIED,05/09/2023
2022-C-000016,REDEEMED,
2022-C-000017,REDEEMED,
2022-C-000018,CERTIFIED,05/09/2023
2022-C-000019,CERTIFIED,05/09/2023
2022-C-000020,REDEEMED,
2022-C-000021,REDEEMED,
2022-C-000022,CERTIFIED,05/09/2023
2022-C-000023,REDEEMED,
2022-C-000024,CERTIFIED,05/09/2023
2022-C-000025,CERTIFIED,05/09/2023
2022-C-000026,REDEEMED,
2022-C-000027,CERTIFIED,05/09/2023
2022-C-000029,REDEEMED,
2022-C-000030,CERTIFIED,05/09/2023
2022-C-000031,CERTIFIED,05/09/2023
2022-C-000032,REDEEMED,
2022-C-000033,CERTIFIED,05/09/2023
2022-C-000034,CERTIFIED,05/09/2023
2022-C-000035,REDEEMED,
2022-C-000036,REDEEMED,
2022-C-000037,REDEEMED,
2022-C-000038,REDEEMED,
2022-C-000039,REDEEMED,
2022-C-000040,REDEEMED,
2022-C-000041,REDEEMED,
2022-C-000042,REDEEMED,
2022-C-000043,CERTIFIED,05/09/2023
2022-C-000044,CERTIFIED,05/09/2023
2022-C-000045,CERTIFIED,05/09/2023
2022-C-000046,REDEEMED,
2022-C-000047,REDEEMED,
2022-C-000048,CERTIFIED,05/09/2023
2022-C-000049,CERTIFIED,05/09/2023
2022-C-000050,CERTIFIED,05/09/2023
2022-C-000051,CERTIFIED,05/09/2023
2022-C-000052,CERTIFIED,05/09/2023
2022-C-000053,CERTIFIED,05/09/2023
2022-C-000054,REDEEMED,
2022-C-000055,REDEEMED,
2022-C-000056,CERTIFIED,05/09/2023
2022-C-000057,CERTIFIED,05/09/2023
2022-C-000058,REDEEMED,
2022-C-000059,CERTIFIED,05/09/2023
2022-C-000060,REDEEMED,
2022-C-000061,REDEEMED,
2022-C-000062,CERTIFIED,05/09/2023
2022-C-000063,CERTIFIED,05/09/2023
2022-C-000064,CERTIFIED,05/09/2023
2022-C-000065,CERTIFIED,05/09/2023
2022-C-000066,CERTIFIED,05/09/2023
2022-C-000067,REDEEMED,
2022-C-000068,REDEEMED,
2022-C-000069,REDEEMED,
2022-C-000070,REDEEMED,
2022-C-000071,CERTIFIED,05/09/2023
2022-C-000072,REDEEMED,
2022-C-000073,CERTIFIED,05/09/2023
2022-C-000074,CERTIFIED,05/09/2023
2022-C-000075,CERTIFIED,05/09/2023
2022-C-000076,CERTIFIED,05/09/2023
2022-C-000077,CERTIFIED,05/09/2023
2022-C-000078,CERTIFIED,05/09/2023
2022-C-000079,CERTIFIED,05/09/2023
2022-C-000080,CERTIFIED,05/09/2023
2022-C-000081,CERTIFIED,05/09/2023
2022-C-000082,CERTIFIED,05/09/2023
2022-C-000083,CERTIFIED,05/09/2023
2022-C-000084,CERTIFIED,05/09/2023
2022-C-000085,CERTIFIED,05/09/2023
2022-C-000086,REDEEMED,
2022-C-000087,REDEEMED,
2022-C-000088,REDEEMED,
2022-C-000089,REDEEMED,
2022-C-000090,CERTIFIED,05/09/2023
2022-C-000091,CERTIFIED,05/09/2023
2022-C-000092,REDEEMED,
2022-C-000093,CERTIFIED,05/09/2023
2022-C-000094,REDEEMED,
2022-C-000095,REDEEMED,
2022-C-000096,REDEEMED,
2022-C-000097,REDEEMED,
2022-C-000098,CERTIFIED,05/09/2023
2022-C-000099,CERTIFIED,05/09/2023
2022-C-000100,REDEEMED,
2022-C-000101,CERTIFIED,05/09/2023
2022-C-000102,REDEEMED,
2022-C-000103,CERTIFIED,05/09/2023
2022-C-000104,REDEEMED,
2022-C-000105,REDEEMED,
2022-C-000106,REDEEMED,
2022-C-000107,CERTIFIED,05/09/2023
2022-C-000108,CERTIFIED,05/09/2023
2022-C-000109,CERTIFIED,05/09/2023
2022-C-000110,CERTIFIED,05/09/2023
2022-C-000111,CERTIFIED,05/09/2023
2022-C-000112,CERTIFIED,05/09/2023
2022-C-000113,REDEEMED,
2022-C-000114,REDEEMED,
2022-C-000115,REDEEMED,
2022-C-000116,REDEEMED,
2022-C-000117,CERTIFIED,05/09/2023
2022-C-000118,CERTIFIED,05/09/2023
2022-C-000119,REDEEMED,
2022-C-000120,REDEEMED,
2022-C-000121,REDEEMED,
2022-C-000122,CERTIFIED,05/09/2023
